date,beta,tstat,r2
2020-04-13,-0.12632551551293592,-3.1269826796915443,0.012802176043763547
2020-04-14,-0.1285160035768232,-3.178527266492115,0.013222085390767191
2020-04-15,-0.12813822774226538,-3.1620463235433647,0.01308711531323159
2020-04-16,-0.12837216666209267,-3.159508194949664,0.013066388481465796
2020-04-17,-0.1274897258433294,-3.130269857107318,0.012828760768319958
2020-04-20,-0.1268778952813804,-3.113729778505969,0.012695263368546095
2020-04-22,-0.12667599831005588,-3.109177214500341,0.012658636770978893
2020-04-23,-0.1265570037745357,-3.1051848229600383,0.012626558784174402
2020-04-24,-0.12799195258659513,-3.131861555274185,0.01284164299295043
2020-04-27,-0.12689008507558902,-3.104556726833051,0.012621515732766486
2020-04-28,-0.12511221948214296,-3.0597614907001227,0.012264349886819681
2020-04-29,-0.1245836010393627,-3.047883145457409,0.012170468154895975
2020-04-30,-0.12310527701408647,-3.011266516873348,0.011883251939840078
2020-05-04,-0.12184494095195066,-2.9823933961307136,0.011659106708634792
2020-05-05,-0.1194874266590804,-2.924328181778229,0.011214577801459846
2020-05-06,-0.11907094941830276,-2.913223707732068,0.011130516050589234
2020-05-07,-0.11696727175268914,-2.854435379224664,0.010690579071285566
2020-05-08,-0.11000902622670419,-2.678950034046269,0.009428523750067419
2020-05-11,-0.11135720467217913,-2.7034260418561344,0.009599935170951479
2020-05-12,-0.11144797807630548,-2.6950125237663,0.009540844124432901
2020-05-13,-0.11018719826362564,-2.6540432839678147,0.009255636014821267
2020-05-14,-0.11212178008999298,-2.695326575944042,0.009543046638681107
2020-05-15,-0.11450407113144931,-2.745394314693765,0.009897336653664435
2020-05-18,-0.11622544772131224,-2.7773195742360466,0.010126516041467193
2020-05-19,-0.12077999123128794,-2.883973962176499,0.010910556209431932
2020-05-20,-0.12279653144252256,-2.9291300785647154,0.011251023149585704
2020-05-21,-0.12215071098041447,-2.911957317944555,0.011120948789374419
2020-05-22,-0.1208353745277776,-2.880013261871724,0.010880934659074026
2020-05-25,-0.1203502320757147,-2.867358977480413,0.010786555923708807
2020-05-26,-0.11959988084870538,-2.849817424526936,0.010656384561104515
2020-05-27,-0.11947972501876611,-2.8482235647571947,0.010644594832218357
2020-05-28,-0.11934121941856561,-2.8443649224200898,0.010616078730945722
2020-05-29,-0.11896575847271178,-2.834857174860084,0.010545972661591074
2020-06-01,-0.11947785019628357,-2.8501439943470124,0.010658800966892756
2020-06-02,-0.11799778098085179,-2.813536351162145,0.010389579607804955
2020-06-03,-0.11912447670866722,-2.8423037022879347,0.010600861090181546
2020-06-04,-0.11898114495128778,-2.837682725300492,0.010566783586615669
2020-06-05,-0.1192617991693767,-2.844315741409133,0.010615715512816593
2020-06-08,-0.1195944302930113,-2.8502760375550245,0.010659778076626103
2020-06-09,-0.1204664222922806,-2.868703454119016,0.010796564479401805
2020-06-10,-0.1209458505706719,-2.8768777434893877,0.01085751214856523
2020-06-12,-0.12223429011586869,-2.9079282908196613,0.011090536927913619
2020-06-15,-0.1256494670029452,-3.001881879096113,0.011810172244197448
2020-06-16,-0.1273822808603227,-3.0406315889819533,0.012113325504235939
2020-06-17,-0.12927372396193648,-3.086515611734284,0.012477075308471086
2020-06-18,-0.13277031660261102,-3.1731810328945307,0.013178229768994187
2020-06-19,-0.13828047479354838,-3.3186728865531716,0.014396593571442295
2020-06-22,-0.14155865963088318,-3.3923653141682326,0.015033337709928873
2020-06-23,-0.14409684248459784,-3.451373951428117,0.015552677631596512
2020-06-24,-0.14715013700900076,-3.5247114724396478,0.016209823275823432
2020-06-25,-0.14832580808056262,-3.5516827209608133,0.016454751339343154
