date,spread_obs,fair_value,mispricing,n_train,mispricing_mean_roll,mispricing_std_roll,mispricing_z,position,next_date,calendar_days_to_next,rolldown_change_1d,spread_change_1d,market_move_change_1d,spread_change_1d_bps,rolldown_change_1d_bps,market_move_change_1d_bps,position_lag1,gross_pnl,carry_rolldown_pnl,market_move_pnl,turnover,transaction_cost,net_pnl,equity_gross,equity_net,carry_rolldown_equity,market_move_equity,running_max,drawdown,fwd_1y1y,fwd_5y5y,spread_from_forward_file,pvalue_coint,coint_stat,alpha,beta,resid_std,half_life_days,cointegration_regime,cointegrated_5pct,cointegrated_5pct_smooth
2023-03-27,2.397962512570228,1.1560919690147975,-1.2418705435554307,756,0.573518478008526,0.96659233274,-1.878133066106444,-1.0,2023-03-28,1.0,0.0049941063084091,0.0108272177277819,0.0058331114193728,1.0827217727781946,0.499410630840913,0.5833111419372816,-1.0,-10827.217727781946,-4994.106308409129,-5833.111419372816,0.0,0.0,-10827.217727781946,4425181.089353744,3980181.0893537486,-1058872.9555079113,5484054.044861647,6097827.058155123,-2117645.9688013745,10.95668060072077,13.83215280008705,2.87547219936628,0.9611124449781606,-0.543169379130394,5.50108901545907,0.612323779812371,0.4507802705532179,100.2399689341268,none,False,False
2023-03-28,2.117181906426314,0.735478424429854,-1.38170348199646,756,0.5657663147563802,0.9732904946919622,-2.000913198447702,-1.0,2023-03-29,1.0,0.0008548237045111,-0.2807806061439142,-0.2816354298484254,-28.07806061439142,0.0854823704511176,-28.163542984842536,-1.0,280780.60614391416,-854.8237045111762,281635.4298484254,0.0,0.0,280780.60614391416,4705961.695497658,4260961.695497663,-1059727.7792124224,5765689.474710072,6097827.058155123,-1836865.3626574604,11.089384887675656,13.694193473256288,2.6048085855806318,0.9611124449781606,-0.543169379130394,5.50108901545907,0.612323779812371,0.4507802705532179,100.2399689341268,none,False,False
2023-03-29,1.8356029423725264,0.764145319525232,-1.0714576228472945,756,0.5561887518164662,0.9805340178000304,-1.659959109134857,-1.0,2023-03-30,1.0,-0.0001339919538221,-0.2815789640537876,-0.2814449720999654,-28.15789640537876,-0.0133991953822132,-28.144497209996544,-1.0,281578.9640537876,133.99195382213236,281444.97209996544,0.0,0.0,281578.9640537876,4987540.659551445,4542540.65955145,-1059593.7872586004,6047134.446810038,6097827.058155123,-1555286.398603673,11.290438679194924,13.61294430430786,2.322505625112937,0.9424377161517432,-0.7374918294123017,5.929238904110708,0.5792083874453969,0.49110351372394134,78.88251200152386,none,False,False
2023-03-30,2.0155988779886336,0.8261361092834912,-1.1894627687051424,756,0.5498697963459631,0.9858786070638832,-1.764246178574803,-1.0,2023-03-31,1.0,-0.0007429132991916,0.1799959356161071,0.1807388489152988,17.999593561610716,-0.0742913299191627,18.07388489152988,-1.0,-179995.93561610716,742.9132991916276,-180738.8489152988,0.0,0.0,-179995.93561610716,4807544.723935339,4362544.723935343,-1058850.8739594086,5866395.597894739,6097827.058155123,-1735282.3342197798,10.978040270226195,13.503071144119216,2.5250308738930194,0.9424377161517432,-0.7374918294123017,5.929238904110708,0.5792083874453969,0.49110351372394134,78.88251200152386,none,False,False
2023-03-31,1.947841551928864,0.7135365505049567,-1.2343050014239074,756,0.5430257471529347,0.9919484093133466,-1.7917572445195595,-1.0,2023-04-03,3.0,-0.0036034278183318,-0.0677573260597694,-0.0641538982414375,-6.775732605976947,-0.3603427818331894,-6.415389824143758,-1.0,67757.32605976948,3603.427818331895,64153.89824143758,0.0,0.0,67757.32605976948,4875302.0499951085,4430302.049995113,-1055247.4461410767,5930549.496136177,6097827.058155123,-1667525.00816001,11.044139197386247,13.523727517166597,2.479588319780346,0.9424377161517432,-0.7374918294123017,5.929238904110708,0.5792083874453969,0.49110351372394134,78.88251200152386,none,False,False
2023-04-03,1.904298025729778,0.7540362902760724,-1.1502617354537057,756,0.5352473495602432,0.9981748401805186,-1.6885910335198655,-1.0,2023-04-04,1.0,-0.0037536620915101,-0.0435435261990861,-0.039789864107576,-4.354352619908619,-0.3753662091510179,-3.978986410757601,-1.0,43543.52619908619,3753.6620915101794,39789.86410757601,0.0,0.0,43543.52619908619,4918845.576194195,4473845.5761942,-1051493.7840495666,5970339.3602437535,6097827.058155123,-1623981.4819609234,10.9828908207507,13.38925313838133,2.406362317630629,0.9424377161517432,-0.7374918294123017,5.929238904110708,0.5792083874453969,0.49110351372394134,78.88251200152386,none,False,False
2023-04-04,1.7430303251445345,0.8680478574585645,-0.87498246768597,756,0.5279135149854903,1.003749045167116,-1.3976561067989752,-1.0,2023-04-05,1.0,0.0016508208995329,-0.1612677005852434,-0.1629185214847763,-16.126770058524343,0.1650820899532945,-16.291852148477638,-1.0,161267.70058524344,-1650.8208995329455,162918.52148477637,0.0,0.0,161267.70058524344,5080113.276779438,4635113.276779443,-1053144.6049490997,6133257.88172853,6097827.058155123,-1462713.78137568,10.9670139812021,13.2793258724059,2.3123118912038,0.9424377161517432,-0.7374918294123017,5.929238904110708,0.5792083874453969,0.49110351372394134,78.88251200152386,none,False,False
2023-04-05,1.6796411794521404,0.7558792432707089,-0.9237619361814317,756,0.5198631062515975,1.0068405464697097,-1.4338169509509913,-1.0,2023-04-06,1.0,0.0009647973654214,-0.063389145692394,-0.0643539430578155,-6.338914569239407,0.0964797365421432,-6.43539430578155,-1.0,63389.145692394064,-964.7973654214326,64353.9430578155,0.0,0.0,63389.145692394064,5143502.4224718325,4698502.422471837,-1054109.402314521,6197611.8247863455,6097827.058155123,-1399324.635683286,10.910982741618946,13.228155622449144,2.317172880830197,0.8064349114760676,-1.3735523030113714,6.484504106890335,0.5349873845357602,0.5064730112841059,44.073001132495286,none,False,False
2023-04-06,1.648008005127167,0.7336984806764844,-0.9143095244506828,756,0.5105126864312963,1.009269259634069,-1.4117364591076291,-1.0,2023-04-10,4.0,0.0013514182389595,-0.0316331743249733,-0.0329845925639329,-3.1633174324973368,0.1351418238959567,-3.298459256393293,-1.0,31633.174324973366,-1351.4182389595676,32984.592563932936,0.0,0.0,31633.174324973366,5175135.596796806,4730135.596796811,-1055460.8205534804,6230596.417350278,6097827.058155123,-1367691.4613583123,11.024196655582962,13.307462797586677,2.283266142003715,0.8064349114760676,-1.3735523030113714,6.484504106890335,0.5349873845357602,0.5064730112841059,44.073001132495286,none,False,False
2023-04-10,1.7530347920987843,1.7319024152162297,-0.0211323768825546,756,0.5018416919550407,1.012093994023536,-0.5167248021683584,-1.0,2023-04-11,1.0,0.0054841834749232,0.1050267869716172,0.0995426034966939,10.502678697161729,0.5484183474923299,9.954260349669395,-1.0,-105026.78697161729,-5484.1834749232985,-99542.60349669398,0.0,0.0,-105026.78697161729,5070108.8098251885,4625108.809825193,-1060945.0040284037,6131053.813853584,6097827.058155123,-1472718.24832993,10.990634976732338,13.306519100395708,2.31588412366337,0.8064349114760676,-1.3735523030113714,6.484504106890335,0.5349873845357602,0.5064730112841059,44.073001132495286,none,False,False
2023-04-11,1.9005748153134936,1.2390450731684166,-0.661529742145077,756,0.4986972630467706,1.0124844585067745,-1.14592080445656,-1.0,2023-04-12,1.0,0.0007364918496186,0.1475400232147092,0.1468035313650906,14.754002321470928,0.0736491849618659,14.680353136509062,-1.0,-147540.02321470928,-736.491849618659,-146803.53136509063,0.0,0.0,-147540.02321470928,4922568.78661048,4477568.786610484,-1061681.4958780224,5984250.282488493,6097827.058155123,-1620258.271544639,10.653295432846631,13.15667944198735,2.503384009140717,0.8064349114760676,-1.3735523030113714,6.484504106890335,0.5349873845357602,0.5064730112841059,44.073001132495286,none,False,False
2023-04-12,1.821332052908863,1.5843064053896947,-0.2370256475191683,756,0.4908963808621134,1.013825006740732,-0.7179957325391118,-1.0,2023-04-13,1.0,0.0009209295451793,-0.0792427624046305,-0.0801636919498098,-7.924276240463057,0.0920929545179305,-8.016369194980989,-1.0,79242.76240463057,-920.9295451793054,80163.69194980989,0.0,0.0,79242.76240463057,5001811.54901511,4556811.549015115,-1062602.4254232016,6064413.974438303,6097827.058155123,-1541015.509140008,10.694459670632718,13.12406092412919,2.429601253496472,0.8064349114760676,-1.3735523030113714,6.484504106890335,0.5349873845357602,0.5064730112841059,44.073001132495286,none,False,False
