date,spread_obs,fair_value,mispricing,n_train,mispricing_mean_roll,mispricing_std_roll,mispricing_z,position,next_date,calendar_days_to_next,rolldown_change_1d,spread_change_1d,market_move_change_1d,spread_change_1d_bps,rolldown_change_1d_bps,market_move_change_1d_bps,position_lag1,gross_pnl,carry_rolldown_pnl,market_move_pnl,turnover,transaction_cost,net_pnl,equity_gross,equity_net,carry_rolldown_equity,market_move_equity,running_max,drawdown
2019-05-28,2.890956779951658,2.265358536623513,-0.6255982433281448,756,-0.564699642962135,0.9412000464306615,-0.06470314211835966,0.0,2019-05-29,1.0,0.003992302347243459,0.0727318458280557,0.06873954348081224,7.27318458280557,0.39923023472434593,6.873954348081224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-05-29,2.6834825002383766,2.5267715436131226,-0.15671095662525403,756,-0.5641099950617906,0.9411148225065156,0.43288983309336415,0.0,2019-05-30,1.0,0.0036933879573606276,-0.20747427971328136,-0.211167667670642,-20.747427971328136,0.36933879573606276,-21.1167667670642,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-05-30,2.692500047164681,2.2765935612682386,-0.4159064858964423,756,-0.5612838640880359,0.9412652355497283,0.15444889782494586,0.0,2019-05-31,1.0,0.004929606099701722,0.009017546926304298,0.004087940826602576,0.9017546926304298,0.4929606099701722,0.40879408266025763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-05-31,2.806422127463203,2.471841724803777,-0.3345804026594261,756,-0.5583593877708183,0.9405644676986504,0.23791987981316046,0.0,2019-06-03,3.0,0.004884189843523679,0.11392208029852213,0.10903789045499845,11.392208029852213,0.48841898435236786,10.903789045499845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-03,2.63194531752231,2.4733844595598993,-0.15856085796241093,756,-0.5539501813499258,0.9389912463900989,0.42107881719618556,0.0,2019-06-04,1.0,0.013424846751418862,-0.17447680994089287,-0.18790165669231174,-17.44768099408929,1.3424846751418862,-18.790165669231172,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-04,2.517468022919367,2.462819025352485,-0.054648997566881796,756,-0.548160425679137,0.9369026346334163,0.5267478282899187,0.0,2019-06-05,1.0,0.006027813077791322,-0.11447729460294331,-0.12050510768073464,-11.447729460294331,0.6027813077791322,-12.050510768073464,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-05,2.5762943160041027,2.266918129405511,-0.30937618659859156,756,-0.5418162272088428,0.9347993547708171,0.24865233317072424,0.0,2019-06-06,1.0,0.005168880289096123,0.05882629308473586,0.053657412795639736,5.882629308473586,0.5168880289096123,5.365741279563974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-06,2.574331758753812,2.233525949635061,-0.34080580911875114,756,-0.5358292371851735,0.9314179944953439,0.20938335872723712,0.0,2019-06-07,1.0,0.005256781684903622,-0.0019625572502905975,-0.007219338935194219,-0.19625572502905975,0.5256781684903622,-0.7219338935194219,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-07,2.679928300811961,2.3966355901832626,-0.28329271062869843,756,-0.5299467488003927,0.9279296632751135,0.2658111362677346,0.0,2019-06-10,3.0,0.004373078384346307,0.10559654205814883,0.10122346367380253,10.559654205814883,0.4373078384346307,10.122346367380253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-06-10,2.7489621237873454,2.587140744931736,-0.16182137885560932,756,-0.5227135153624138,0.922684277745714,0.3911328557462037,0.0,2019-06-11,1.0,0.014317604557321673,0.0690338229753844,0.054716218418062734,6.903382297538441,1.4317604557321673,5.471621841806273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
