date,fwd_1y1y,fwd_5y5y,spread_5y5y_minus_1y1y,ipca_mom,ipca_12m,ipca_3m_saar,release_date_x,ibc_br_sa_level,release_date_y,available_date,focus_ipca_12m,focus_ipca_12m_chg_5d,focus_ipca_12m_chg_21d,inflation_expectations_gap,inflation_persistence_gap,spread_chg_5d,spread_chg_21d,ibc_br_sa_3m_change
2013-11-28,11.538944684999564,13.205406074673752,1.6664613896741898,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-11-28,6.16,0.71,-0.040000000000000036,0.32248707228394036,1.4212130470519515,0.6653618848553329,0.895286411236528,0.0
2013-11-29,11.638647324009078,13.334641958694093,1.6959946346850143,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-11-29,6.01,0.5499999999999998,-0.6900000000000004,0.17248707228394,1.2712130470519512,0.695464594753334,0.9255638990325978,0.0
2013-12-02,11.834678667548438,13.632590848511782,1.797912180963344,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-12-02,5.91,0.009999999999999787,-0.28000000000000025,0.07248707228394036,1.1712130470519515,0.7200320601496983,0.9671756400167801,0.0
2013-12-03,11.812852197973989,13.6716862320992,1.8588340341252128,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-12-03,6.07,0.010000000000000675,0.6900000000000004,0.2324870722839405,1.3312130470519516,0.6175417553343951,0.914420083626034,0.0
2013-12-04,11.72439192652137,13.65105945477849,1.92666752825712,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-12-04,5.4,-0.6399999999999997,-0.6299999999999999,-0.43751292771605943,0.6612130470519517,0.664475454476877,0.9914419655215205,0.0
2013-12-05,11.654011478228751,13.299555800112708,1.6455443218839534,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-12-05,6.01,-0.15000000000000036,-0.20999999999999996,0.17248707228394,1.2712130470519512,-0.020917067790236388,0.559449943088099,0.0
2013-12-06,11.617754300437324,13.1885966854576,1.570842385020276,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-12-06,5.9,-0.10999999999999943,-0.2599999999999998,0.06248707228394057,1.1612130470519517,-0.12515224966473837,0.3968518020625229,0.0
2013-12-09,11.561215157123495,13.236869631794068,1.6756544746705728,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-12-09,5.9,-0.009999999999999787,-0.2699999999999996,0.06248707228394057,1.1612130470519517,-0.12225770629277122,0.5536377671498283,0.0
2013-12-10,11.524533145211402,13.12757895997876,1.6030458147673574,0.54,5.774389162550464,5.998283224291168,2013-12-10,103.89768,2013-11-15,2013-12-10,6.05,-0.020000000000000462,-0.16000000000000014,0.27561083744953585,0.05171677570883215,-0.25578821935785534,0.48805055217808935,0.0
2013-12-11,11.402459923404097,13.18548682217784,1.7830268987737448,0.54,5.774389162550464,5.998283224291168,2013-12-10,103.89768,2013-11-15,2013-12-11,6.06,0.6599999999999993,0.6599999999999993,0.28561083744953564,0.06171677570883194,-0.1436406294833752,0.7521954127820898,0.0
2013-12-12,11.400564962020932,13.142724313762756,1.742159351741824,0.54,5.774389162550464,5.998283224291168,2013-12-10,103.89768,2013-11-15,2013-12-12,6.08,0.07000000000000028,0.23000000000000043,0.3056108374495361,0.0817167757088324,0.09661502985787052,0.685466308864658,0.0
2013-12-13,11.391248249372076,13.201933159480529,1.8106849101084528,0.54,5.774389162550464,5.998283224291168,2013-12-10,103.89768,2013-11-15,2013-12-13,6.01,0.10999999999999943,0.6099999999999994,0.23561083744953581,0.011716775708832117,0.23984252508817683,0.8789181179311284,0.0
2013-12-16,11.352843455357696,13.159071552593703,1.8062280972360083,0.54,5.774389162550464,5.998283224291168,2013-12-10,104.14457,2013-12-15,2013-12-16,5.96,0.05999999999999961,0.04999999999999982,0.185610837449536,-0.038283224291167706,0.13057362256543548,0.8060753568358796,0.2468900000000076
2013-12-17,11.368575614103673,13.137905698698038,1.7693300845943671,0.54,5.774389162550464,5.998283224291168,2013-12-10,104.14457,2013-12-15,2013-12-17,6.06,0.009999999999999787,0.08999999999999986,0.28561083744953564,0.06171677570883194,0.16628426982700972,0.8136804324122782,0.2468900000000076
2013-12-18,11.387382872909058,13.136997985096066,1.7496151121870085,0.54,5.774389162550464,5.998283224291168,2013-12-10,104.14457,2013-12-15,2013-12-18,5.93,-0.1299999999999999,-0.15000000000000036,0.15561083744953574,-0.06828322429116795,-0.03341178658673627,0.853234489362098,0.2468900000000076
2013-12-19,11.491920196762395,13.386409621592788,1.8944894248303916,0.54,5.774389162550464,5.998283224291168,2013-12-10,104.14457,2013-12-15,2013-12-19,6.07,-0.009999999999999787,0.040000000000000036,0.2956108374495363,0.07171677570883261,0.15233007308856772,0.8912152959556379,0.0
2013-12-20,11.628425256385563,13.565540724920533,1.937115468534968,0.54,5.774389162550464,5.998283224291168,2013-12-10,104.14457,2013-12-15,2013-12-20,6.05,0.040000000000000036,0.5999999999999996,0.27561083744953585,0.05171677570883215,0.1264305584265153,0.9360159637161112,0.0
2013-12-23,11.66956402308099,13.568252064021925,1.8986880409409324,0.54,5.774389162550464,5.998283224291168,2013-12-10,104.14457,2013-12-15,2013-12-23,5.68,-0.28000000000000025,0.21999999999999975,-0.09438916255046426,-0.31828322429116795,0.09245994370492405,0.898158001009252,0.0
2013-12-26,11.701507228935814,13.69478985020518,1.9932826212693653,0.54,5.774389162550464,5.998283224291168,2013-12-10,104.14457,2013-12-15,2013-12-25,6.08,0.15000000000000036,0.020000000000000462,0.3056108374495361,0.0817167757088324,0.22395253667499815,0.9154025004557196,0.0
2013-12-27,11.640833877648385,13.608620989261722,1.9677871116133383,0.54,5.774389162550464,5.998283224291168,2013-12-10,104.14457,2013-12-15,2013-12-27,5.46,-0.6100000000000003,-0.5800000000000001,-0.314389162550464,-0.5382832242911677,0.2181719994263298,0.7264948328225207,0.0
2013-12-30,11.601304949556669,13.650105041268512,2.048800091711845,0.54,5.774389162550464,5.998283224291168,2013-12-10,104.14457,2013-12-15,2013-12-30,6.09,0.040000000000000036,-0.07000000000000028,0.3156108374495359,0.09171677570883219,0.15431066688145356,0.7866080179316022,0.0
2014-01-02,11.636666941127928,13.652359207980048,2.0156922668521204,0.54,5.774389162550464,5.998283224291168,2013-12-10,104.14457,2013-12-15,2014-01-01,6.01,0.08999999999999986,0.09999999999999964,0.23561083744953581,0.011716775708832117,0.07857679831715236,0.34923087717793067,0.0
